カードID,効果名,効果タイプ,実装状況,説明,理由,動作確認,テスト結果メモ
hBP01-104,サポートエフェクト,サポートエフェクト,実装済み,効果説明なし,,動作確認済み,モーダル表示確認
hBP02-042,アーツ1,アーツ1,実装済み,効果説明なし,,動作確認済み,ダメージ効果正常
hBP02-045,ブルームエフェクト,ブルームエフェクト,実装済み,効果説明なし,,エラー,モーダルが表示されない
hBP02-045,アーツ1,アーツ1,実装済み,効果説明なし,,未確認,
hBP02-076,サポートエフェクト,サポートエフェクト,実装済み,効果説明なし,,未確認,未確認
hBP02-084,サポートエフェクト,サポートエフェクト,実装済み,効果説明なし,,未確認,未確認
hBP04-004,推しスキル,推しスキル,実装済み,効果説明なし,,未確認,未確認
hBP04-004,SP推しスキル,SP推しスキル,実装済み,効果説明なし,,未確認,未確認
hBP04-043,アーツ1,アーツ1,実装済み,効果説明なし,,未確認,未確認
hBP04-044,コラボエフェクト,コラボエフェクト,実装済み,効果説明なし,,未確認,未確認
hBP04-044,アーツ1,アーツ1,実装済み,効果説明なし,,未確認,未確認
hBP04-045,アーツ1,アーツ1,実装済み,効果説明なし,,未確認,未確認
hBP04-045,アーツ2,アーツ2,実装済み,効果説明なし,,未確認,未確認
hBP04-046,アーツ1,アーツ1,実装済み,効果説明なし,,未確認,未確認
hBP04-047,コラボエフェクト,コラボエフェクト,実装済み,効果説明なし,,未確認,未確認
hBP04-047,アーツ1,アーツ1,実装済み,効果説明なし,,未確認,未確認
hBP04-048,ブルームエフェクト,ブルームエフェクト,実装済み,効果説明なし,,未確認,未確認
hBP04-048,アーツ1,アーツ1,実装済み,効果説明なし,,未確認,未確認
hBP04-089,サポートエフェクト,サポートエフェクト,実装済み,効果説明なし,,未確認,未確認
hSD01-014,アーツ1,アーツ1,実装済み,効果説明なし,,未確認,未確認
hSD01-016,サポートエフェクト,サポートエフェクト,実装済み,効果説明なし,,未確認,未確認
hSD01-017,サポートエフェクト,サポートエフェクト,実装済み,効果説明なし,,未確認,未確認
hY04-001,なし,なし,実装済み,効果なし,,未確認,
